vehicle_count,queue_length,traffic_density,avg_speed,waiting_time,green_signal_ratio,monsoon_active,peak_hour,congestion_delay_sec
362,631.68,55.02,22.23,449.36,0.2403,0,0,181.965
198,435.45,137.36,12.34,344.85,0.8041,0,0,148.194
130,195.84,105.73,10.93,251.84,0.5553,0,0,91.68
89,314.51,429.08,5.0,600.0,0.4094,0,1,315.647
67,364.41,250.28,36.88,588.7,0.3681,1,0,216.781
506,271.05,68.3,41.58,130.58,0.2625,0,0,62.891
387,160.68,286.9,21.05,55.06,0.4358,0,0,101.661
147,666.94,213.87,35.99,229.79,0.7575,0,0,107.333
275,393.96,59.99,24.08,308.68,0.6032,1,0,149.503
382,603.43,237.48,15.24,162.58,0.4001,0,0,163.611
198,719.97,165.24,22.13,377.24,0.6231,0,0,182.888
230,317.93,130.03,37.34,198.83,0.4315,0,0,76.085
384,739.36,69.74,47.89,545.47,0.3569,0,0,203.38
137,184.63,95.81,11.34,190.65,0.7052,0,0,28.224
468,1000.0,84.22,32.46,600.0,0.2275,0,1,301.482
113,1000.0,323.37,23.04,567.85,0.6395,1,0,321.76
23,668.28,89.26,31.92,334.84,0.6843,0,0,114.904
361,288.52,191.25,8.61,154.32,0.2387,1,0,153.397
371,257.61,277.9,34.62,527.17,0.6716,0,0,177.659
532,249.62,308.38,24.16,266.53,0.2035,0,0,200.847
158,1000.0,366.28,9.15,600.0,0.5601,0,1,394.503
390,228.93,257.41,51.65,60.6,0.3967,0,0,61.685
466,419.25,288.57,29.95,218.73,0.316,0,0,208.271
335,300.63,248.58,9.84,349.99,0.2826,0,0,180.566
462,345.35,137.28,22.78,420.08,0.5197,0,0,191.172
481,483.08,33.95,9.89,552.49,0.4042,1,0,245.392
412,295.82,75.46,54.88,370.17,0.5544,0,0,104.903
489,695.21,183.58,11.76,170.16,0.794,1,0,183.872
310,496.69,112.67,22.05,328.87,0.2835,1,0,197.001
239,366.84,113.88,45.81,65.93,0.377,0,0,20.891
435,413.37,26.07,12.89,123.46,0.2851,0,0,84.131
426,298.76,175.73,29.83,217.81,0.6284,0,0,131.031
72,654.05,107.04,38.27,44.95,0.6092,0,0,37.863
153,406.0,84.25,57.68,77.17,0.8119,0,0,15.0
227,717.96,275.09,23.88,58.14,0.5438,0,1,137.09
421,303.23,122.12,5.78,124.1,0.693,1,0,123.049
126,101.58,191.55,14.97,521.44,0.3228,1,0,192.378
157,641.63,79.45,25.3,233.74,0.7893,0,0,80.727
397,1000.0,390.87,10.64,600.0,0.1539,1,1,400.0
58,233.03,271.65,54.68,539.45,0.7052,0,0,126.82
803,565.43,48.19,5.0,600.0,0.5931,0,1,302.426
245,336.43,246.14,22.28,162.66,0.3488,0,0,93.058
108,594.05,253.84,33.7,232.08,0.4076,0,0,143.107
160,186.32,288.5,9.73,306.9,0.3619,0,0,158.6
433,749.17,256.77,29.11,278.24,0.7859,0,0,189.695
328,96.19,180.72,10.76,70.22,0.5152,0,0,70.066
239,737.4,28.71,52.01,168.49,0.4347,0,0,42.575
193,98.05,32.69,18.71,382.06,0.5358,0,0,99.984
420,282.75,63.21,36.07,410.04,0.689,0,0,114.515
378,326.98,167.23,24.05,236.54,0.6341,1,0,196.179
366,325.04,343.82,13.39,210.53,0.7137,1,0,183.517
225,1000.0,84.12,14.55,385.21,0.9036,1,0,240.531
524,400.93,175.46,31.76,432.1,0.3839,0,0,183.656
362,142.13,291.1,51.95,440.03,0.3457,0,0,145.711
